Ship,Sunk date,Notes,Coordinates,Year
HMS Ardent,22-May-82,A Type 21 frigate that was sunk by Argentine bombers during the Falklands War.,,1982
HMS Coventry,25-May-82,A Type 42 destroyer that was sunk by Argentine aircraft during the Falklands War.,,1982
ARA Isla de los Estados,11-May-82,A naval supply ship that was sunk by HMS Alacrity during the Falklands War.,51°42′3″S 59°29′22″W﻿ / ﻿51.70083°S 59.48944°W﻿ / -51.70083; -59.48944﻿ (ARA Isla de los E,1982
Ann Alexander,20 August 1851,An American whaleship that sank after it was rammed by a sperm whale.,,1851
Jessica,16-Jan-01,"An oil tanker that ran aground off Puerto Baquerizo Moreno, causing an oil spill.",,2001
Adresito,Mar-90,"Capsized in Amazon River, Iquitos, Loreto Maynas, at least 134 people confirmed dead.",,1990
Covadonga,13 September 1880,A Chilean schooner that was sunk by a mine outside Chancay.,,1880
La Chachita,May-91,"Capsized by stormy conditions in Marranon River, at least 150 people confirmed dead.",,1991
Admiral Graf Spee,17-Dec-39,A German cruiser scuttled during the Battle of the River Plate.,,1939
HMS Agamemnon,20 June 1809,A Royal Navy warship ran aground and sank north of Gorriti Island in Maldonado Bay.,,1809
Sesostris,31-Mar-41,A German cargo ship torched by her own crew out of fear of being seized by U.S. or local authorities.,,1941
Aikoku Maru,17-Feb-44,An armed merchantman that was sunk during Operation Hailstone. The remains of 400 men were recovered from the wreck and cremated in 1984.,07°22′N 151°56′E,1944
Fujikawa Maru,17-Feb-44,An armed aircraft transport that was sunk during Operation Hailstone,,1944
Fumizuki,18-Feb-44,A Japanese Mutsuki-class destroyer that was sunk during Operation Hailstone.,07°24′N 151°44′E,1944
Heian Maru,17-Feb-44,A Japanese submarine tender that was sunk during Operation Hailstone.,,1944
I-169,4-Apr-44,"A Japanese Kaidai-class submarine that participated in the attack on Pearl Harbor, and sank northwest of Dublon, when it flooded while diving to avoid an air-raid.",,1944
Tachikaze,18-Feb-44,"A Japanese Minekaze-class destroyer that ran aground at Kuop Atoll on 4 February 1944, and remained stranded until it was sunk in Operation Hailstone.",07°03′N 151°56′E,1944
Umikaze,1-Feb-44,A Japanese Shiratsuyu-class destroyer that was torpedoed by USS Guardfish south of Chuuk.,07°10′N 151°43′E,1944
Amatsu Maru,31-Mar-44,A Japanese tanker that was sunk during Operation Desecrate One.,,1944
Bichu Maru,30-Mar-44,A Japanese freighter that was sunk during Operation Desecrate One.,,1944
Chuyo Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
Gozan Maru,30-Mar-44,A Japanese troopship that was sunk during Operation Desecrate One.,,1944
Irō,31-Mar-44,A Japanese Notoro-class oil tanker that was sunk during Operation Desecrate One. She was the sister ship of Sata.,,1944
Kamikaze Maru,31-Mar-44,A Japanese troopship that was sunk during Operation Desecrate One.,,1944
Kibi Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
Nagisan Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
USS Perry,13-Sep-44,A Clemson-class destroyer that was sunk by a mine off Anguar.,6°53′N 134°10′E,1944
Raizan Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
Ryuko Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
Samidare,25-Aug-44,A Japanese Shiratsuyu-class destroyer that was torpedoed by USS Batfish after running aground on Velasco Reef.,8°10′N 134°38′E,1944
Sata,31-Mar-44,A Japanese Notoro-class oil tanker that was sunk during Operation Desecrate One. She was a sister ship of the Irō.,,1944
Teshio Maru,31-Mar-44,A Japanese freighter (army cargo vessel) that was sunk during Operation Desecrate One.,,1944
Urakami Maru,31-Mar-44,A Japanese repair ship that was sunk during Operation Desecrate One.,,1944
Wakatake,30-Mar-44,A Japanese Wakatake-class destroyer that was sunk during Operation Desecrate One.,7°50′N 134°20′E,1944
SMS Planet,7-Oct-14,A survey ship that was scuttled to prevent capture.,,2014
MV Senopati Nusantara,30-Dec-06,A passenger ferry that sank off Mandalika Island.,,2006
MV Levina 1,25-Feb-07,A passenger ferry that sank several hours from Jakarta.,,2007
SS Norwich City,29-Nov-29,A British freighter that ran aground at Nikumaroro.,,1929
Golden Sunset,1866,A British barque that ran aground at Enderbury Island.[1],,1866
President Taylor,14-Feb-42,"After carrying two companies of infantry and two battalions of coast artillery, about 1,100 men, for the Canton (Kanton) Island garrison, and possibly due to loss of an anchor while landing troops and equipment by means of shallow draft craft from outside the lagoon, the ship became firmly grounded on the coral reef. The hull was eventually scrapped by 6 April 1955.",,1942
USS Anderson,1-Jul-46,A Sims-class destroyer that was sunk at Bikini Atoll in an atomic bomb test.,,1946
USS Apogon,25-Jul-46,"A Balao-class submarine that was sunk at Bikini Atoll in an atomic bomb test, Operation Crossroads.",,1946
USS Arkansas,25-Jul-46,A Wyoming-class battleship that was sunk at Bikini Atoll in an atomic bomb test.,,1946
USS Barrow,11-May-48,A Gilliam-class attack transport that sustained heavy damage in atomic bomb tests and was scuttled off Kwajalein.,,1948
USS Carlisle,1-Jul-46,A Gilliam-class attack transport that was sunk at Bikini Atoll in an atomic bomb test.,,1946
USS Gilliam,1-Jul-46,A Gilliam-class attack transport that was sunk at Bikini Atoll in an atomic bomb test.,,1946
SS Kembu Maru,4-Dec-43,A Japanese freighter that was sunk by US aircraft at Kwajalein Atoll.,09°19′N 167°25′E,1943
USS Lamson,2-Jul-46,A Mahan-class destroyer that was sunk at Bikini Atoll in an atomic bomb test.,,1946
USS LST-545,12-May-48,An LST-542-class tank landing ship that was sunk at Enewetak Atoll in an atomic bomb test.,,1948
USS LST-661,25-Jul-48,An LST-542-class tank landing ship that was sunk at Enewetak Atoll in an atomic bomb test.,,1948
Nagato,30-Jul-46,"A Japanese Nagato-class battleship that sustained heavy damage in an atomic bomb test at Bikini Atoll, and capsized and sank five days later.",,1946
USS Pennsylvania,10-Feb-48,"A Pennsylvania-class super-dreadnought battleship, that was sunk off Kwajalein after atomic bomb tests.",,1948
USS Pilotfish,25-Jul-46,A Balao-class submarine that sunk at Bikini Atoll in an atomic bomb test.,30°26′N 140°53′E,1946
Prinz Eugen,22-Dec-46,"A German Admiral Hipper-class heavy cruiser that was damaged at Bikini Atoll by atomic bomb tests, and later towed to Kwajalein where it capsized and sunk.",8°45′9.85″N 167°40′59.16″E,1946
Sakawa,2-Jul-46,"A Japanese Agano-class cruiser that sustained heavy damage in an atomic bomb test at Bikini Atoll, and sank the following day.",11°35′N 165°23′E,1946
USS Saratoga,25-Jul-46,A Lexington-class aircraft carrier that was sunk at Bikini Atoll in an atomic bomb test.,11°34′53.33″N 165°29′54.78″E,1946
Toreshima Maru,Dec-43,A Japanese supply ship sunk at Maloelap Atoll off Taroa Island by US Navy.,,1943
Anjou,5-Feb-05,A barque that struck rocks off the Auckland Islands.,50°46′37″S 165°53′15″E,2005
TSS Arahura,24-Jan-52,A passenger and cargo steamer that was sunk for target practice in Cook Strait.,,1952
Boyd,October 1809,A brigantine that was attacked by Maori warriors at Whangaroa. The ship was destroyed by fire during the resulting Boyd massacre.,,1809
HMS Buffalo,28 July 1840,"A storeship that was wrecked in a storm in Mercury Bay, with two lives lost.",36°49′36.20″S 175°42′20.00″E,1840
HMNZS Canterbury,3-Nov-07,A Leander-class frigate that was scuttled as a dive wreck in the Bay of Islands.,35°11′38″S 174°17′40″E,2007
Cowan,9-Mar-48,A wooden steam trawler that struck rocks in Lyttelton Harbour.,,1948
Darra,1951,"A tea clipper, later used as a coal hulk, intentionally beached in Lyttelton Harbour.",,1951
Derry Castle,20 March 1887,A barque that ran aground on Enderby Island.,50°29′04″S 166°18′10″E,1887
Dundonald,7-Mar-07,"A barque that was wrecked in a storm off Disappointment Island, where the survivors remained for seven months until rescued.",50°36′29″S 165°57′17″E,2007
SS Elingamite,5-Nov-02,A steamship that struck West Island (one of the Three Kings Islands) and sank within 20 minutes.,34°11′10″S 172°01′54″E,2002
England's Glory,7 November 1881,By getting too close in while waiting the arrival of the pilot.[2],,1881
Endeavour II,22-Feb-71,"A three-masted auxiliary barque driven onto the bar of Parengarenga Harbour, a few miles south of North Cape. There were no fatalities amongst the crew of thirteen men and one woman.[3]",34°31′18″S 173°00′37″E,1971
General Grant,14 May 1866,A barque that drifted into a cave on the western shore of the Auckland Islands and sank.,,1866
Holmbank,21-Sep-63,A coastal trading vessel that was lost off Banks Peninsula,,1963
MV Holmglen,24-Nov-59,A coastal trading vessel that was lost off Timaru.,44°31′20″S 171°41′22″E,1959
Hydrabad,24 June 1878,A cargo and passenger sailing ship that was beached in the North Island in a storm.,,1878
MV Kaitawa,24-May-66,A collier that capsized near Cape Reinga.,,1966
MS Mikhail Lermontov,16-Feb-86,A Soviet passenger liner that ran aground in the Marlborough Sounds.,41°02′32″S 174°13′10″E,1986
RMS Niagara,19-Jun-40,An ocean liner that struck a mine and sank off Bream Head while carrying a secret consignment of gold from the Bank of England.,35°51′50″S 174°56′38″E,1940
HMS Orpheus,7 February 1863,"A Jason-class corvette that ran aground on the Manukau Heads, with 189 lives lost.",37°04.1′S 174°28.3′E,1863
SS Penguin,12-Feb-09,A ferry that foundered off Cape Terawhiti.,,2009
SS Port Kembla,18-Sep-17,A cargo ship that was sunk by a mine off Farewell Spit.,,2017
HMNZS Puriri,14-May-41,"A coastal cargo boat that was converted into a minesweeper, and hit a mine off Bream Head 25 days after being commissioned.",35°46′15″S 174°43′00″E,1941
Queen Bee,7 August 1877,A barque that ran aground on Farewell Spit.[4],40°30′00″S 172°52′00″E,1877
Rainbow Warrior,2-Dec-87,"A fishing trawler that was purchased by Greenpeace in 1978 for use as a fundraising and protest ship. She was sabotaged and sunk by the French secret service at Auckland on 10 July 1985, and although later refloated, was found to be beyond repair and finally scuttled in Matauri Bay.",34°58′29″S 173°56′06″E,1987
MV Rena,5-Oct-11,"A container ship that ran aground on Astrolabe Reef, resulting in New Zealand's worst oil spill. The wreck broke apart and sank in January 2012.",37°32′25″S 176°25′45″E,2011
HMS Sandfly,1868,"A passenger paddle steamer used as a gunboat during the New Zealand Wars. In 1865 she reverted to civilian use and became the Tasmanian Maid, before being wrecked off New Plymouth.",,1868
Sydney Packet,17 July 1837,"A schooner that was wrecked in a storm off Moeraki, Otago.",,1837
SS Tararua,29 April 1881,"A passenger steamer that struck a reef off Waipapa Point and sank the next day, claiming over 100 victims.",46°40′07″S 168°51′44″E,1881
HMS Torch,17-Nov-24,An Alert-class sloop that ran aground in the Chatham Islands.,,1924
Torrington,27 June 1851,A brig wrecked in a storm in Lyttelton Harbour,,1851
HMNZS Tui,Feb-99,An oceanographic survey and research ship that was scuttled as a dive wreck.,35°35′00″S 174°32′22″E,1999
SS Victory,3 July 1861,A steamship that ran aground off Otago Peninsula.,45°50′33″S 170°43′56″E,1861
Wahine,10-Apr-68,"A passenger ferry that ran aground and capsized, with 51 lives lost.",,1968
HMNZS Waikato,18-Dec-00,A Leander-class frigate that was scuttled off Tutukata as an artificial reef.,35°39′10″S 174°32′40″E,2000
SS Wairarapa,29 October 1894,A luxury steamer that hit a reef off Great Barrier Island.,36°04′03″S 175°21′07″E,1894
HMNZS Wellington,13-Nov-05,A Leander-class frigate that was scuttled off the coast of Wellington.,41°21.18′S 174°46.80′E,2005
William and John,27 June 1851,A 10 ton cutter wrecked in a storm in Lyttelton Harbour,,1851
USS Brownson,26-Dec-43,"A Fletcher-class destroyer that was sunk by a Japanese dive bomber off Cape Gloucester, New Britain.",5°20′S 148°25′E,1943
HMAS Geelong,18-Oct-44,A Bathurst-class corvette that collided with the American tanker York north of Langemak Bay.,6°4′S 147°45′E,1944
Hakaze,23-Jan-43,"A Japanese Minekaze-class destroyer that was torpedoed by USS Guardfish south of Kavieng, New Ireland.",02°47′S 150°38′E,1943
SS Kyokusei Maru,2-Mar-43,A Japanese troopship that was sunk by Allied aircraft in the Battle of the Bismarck Sea.,06°46′S 147°10′E,1943
MV Macdhui,18-Jun-42,A passenger and cargo ship that was sunk by Japanese aircraft in Port Moresby.,,1942
Mikazuki,28-Jul-43,A Japanese Mutsuki-class destroyer that ran aground on a reef off the west coast of New Island.,5°27′S 148°25′E,1943
USS Mount Hood,10-Nov-44,"A Mount Hood-class ammunition ship that exploded in Seeadler Harbor, killing over 300 people and destroying twenty-two smaller boats and landing craft.",2°01′42″S 147°21′18″E,1944
SS Pruth,31-Dec-23,"A steamship that was wrecked on Natara Reef, off Port Moresby.",,1923
Ro-33,29-Aug-42,A Japanese Ro-33-class submarine that was sunk by HMAS Arunta off Port Moresby.,09°36′S 147°06′E,1942
USS S-39,13-Aug-42,An S-class submarine that ran aground off Rossel Island.,11°21′02.74″S 154°08′56.51″E,1942
Tenryū,19-Dec-42,A Japanese Tenryū-class cruiser that was torpedoed by USS Albacore off Madang.,05°12′S 145°56′E,1942
W-26,17-Feb-44,"A Japanese W-19-class minesweeper that was bombed by American aircraft at Karavia Bay, New Britain.",,1944
Yūgiri,26-Nov-43,A Japanese Fubuki-class destroyer that was sunk in the Battle of Cape St. George.,04°44′S 154°0′E,1943
Staghound,21 November 1862,Drove ashore during a gale.,,1862
SMS Adler,16 March 1889,A gunboat that was wrecked in the 1889 Apia cyclone.,,1889
SMS Eber,16 March 1889,A warship that was wrecked in the 1889 Apia cyclone.,13°49′53″S 171°45′07″W﻿ / ﻿13.83139°S 171.75194°W﻿ / -13.83139; -171.75194﻿ (SMS E,1889
USS Trenton,16 March 1889,A warship that was wrecked in the 1889 Apia cyclone.,,1889
Wild Wave,5 March 1858,A 1500-ton clipper ship that was wrecked on Oeno Island.,,1858
Cornwallis,23 January 1875,A ship that was wrecked on Pitcairn Island.,,1875
Khandeish,25 September 1875,A ship that was wrecked on Oeno Island.,,1875
Acadia,5 June 1881,A mail ship that was wrecked on Ducie Island.,,1881
Oregon,23 August 1883,A ship that was wrecked on Oeno Island.,,1883
Bowdon,April 1893,A ship that was wrecked on Oeno Island.,,1893
USS Chicago,30-Jan-43,A Northampton-class heavy cruiser that was sunk in the Battle of Rennell Island.,11°25′S 160°56′E,1943
USS Helena,6-Jul-43,A St. Louis-class light cruiser that was sunk in the Battle of Kula Gulf.,7°46′0″S 157°11′0″E,1943
Jintsu,13-Jul-43,A Japanese Sendai-class light cruiser that was sunk in the Battle of Kolombangara.,07°38′S 157°06′E,1943
USS Juneau,13-Nov-42,An Atlanta-class light cruiser that was sunk in the Naval Battle of Guadalcanal.,10°34′S 161°04′E,1942
Ro-34,5-Apr-43,A Japanese Kaichū type submarine that was sunk by USS O'Bannon (DD-450) (USS O'Bannon) and USS Strong (DD-467) (USS Strong) off the Russell Islands.,08°15′S 158°58′E,1943
Yūgumo,7-Oct-43,A Japanese Yūgumo-class destroyer that was sunk in the Naval Battle of Vella Lavella.,07°33′S 156°14′E,1943
Yura,25-Oct-42,A Japanese Nagara-class light cruiser that was bombed by US aircraft and scuttled off Savo Island.,08°15′S 159°07′E,1942
USS Aaron Ward,7-Apr-43,A Gleaves-class destroyer that was sunk by Japanese aircraft during Operation I-Go.,9°10′30″S 160°12′0″E,1943
Akatsuki,13-Nov-42,A Japanese Akatsuki-class destroyer that was sunk in the Naval Battle of Guadalcanal.,09°17′S 159°56′E,1942
USS Astoria,9-Aug-42,A New Orleans-class heavy cruiser that was sunk in the Battle of Savo Island.,9°12′33″S 159°52′3″E,1942
Ayanami,15-Nov-42,A Japanese Fubuki-class destroyer that was sunk by gunfire from USS Washington.,9°10′S 159°52′E,1942
USS Barton,13-Nov-42,A Benson-class destroyer that was struck by torpedoes from the Japanese destroyer Akatsuki.,,1942
HMAS Canberra,9-Aug-42,A Kent-class cruiser that was scuttled after taking damage in the Battle of Savo Island.,9°12′29″S 159°54′46″E,1942
USS Colhoun,30-Aug-42,A Wickes-class destroyer that was sunk by Japanese aircraft.,09°24′S 160°01′E,1942
USS Cushing,13-Nov-42,A Mahan-class destroyer that was sunk in the Naval Battle of Guadalcanal.,,1942
USS De Haven,1-Feb-43,A Fletcher-class destroyer that was sunk by Japanese bombers during Operation Ke.,9°9′S 159°52′E,1943
USS Duncan,12-Oct-42,A Gleaves-class destroyer that was sunk after taking damage in the Battle of Cape Esperance.,,1942
Fubuki,11-Oct-42,A Japanese Fubuki-class destroyer that was sunk in the Battle of Cape Esperance.,09°06′S 159°38′E,1942
Furutaka,12-Oct-42,A Japanese Furutaka-class cruiser that was sunk in the Battle of Cape Esperance.,09°02′S 159°33′E,1942
USS George F. Elliott,8-Aug-42,A Heywood-class attack transport that was sunk by Mitsubishi G4M bombers.,9°20′45″S 160°8′14″E,1942
Hiei,14-Nov-42,A Japanese Kongō-class battleship that was scuttled after taking damage in the Naval Battle of Guadalcanal.,9°00′00″S 158°59′59″E,1942
USS Jarvis,9-Aug-42,A Gridley-class destroyer that was sunk by Japanese aircraft.,9°42′S 158°59′E,1942
USS John Penn,13-Aug-43,An attack transport that was sunk by Japanese aircraft off Lunga Point.,,1943
Kasi Maru,2-Jul-43,"A Japanese auxiliary minelayer/merchant ship, sunk in Mbaeroko Bay, near Munda, during a bombing raid by USAAF B-25 bombers",8°06′S 157°20′E,1943
USS Kanawha,8-Apr-43,A Kanawha-class fleet replenishment oiler that was sunk by enemy Vals.,,1943
Kirishima,15-Nov-42,A Japanese Kongō-class battleship that was sunk by USS Washington.,9°05′S 159°42′E,1942
USS Laffey,13-Nov-42,A Benson-class destroyer that was sunk in the Naval Battle of Guadalcanal.,,1942
USS Little,5-Sep-42,"A Wickes-class destroyer that was sunk by Japanese destroyers Yūdachi, Hatsuyuki, and Murakumo.",,1942
Makigumo,1-Feb-42,A Japanese Yūgumo-class destroyer that was scuttled after striking a mine.,09°15′S 159°47′E,1942
HMNZS Moa,7-Apr-43,A Bird-class minesweeper that was sunk by Japanese aircraft.,,1943
USS Monssen,13-Nov-42,A Gleaves-class destroyer that was sunk in the Naval Battle of Guadalcanal.,,1942
USS Northampton,30-Nov-42,A Northampton-class heavy cruiser that was sunk in the Battle of Tassafaronga.,09°12′S 159°50′E,1942
USS Preston,14-Nov-42,A Mahan-class destroyer that was sunk in the Naval Battle of Guadalcanal.,,1942
USS Quincy,9-Aug-42,A New Orleans-class cruiser that was sunk in the Battle of Savo Island.,9°4′32″S 159°58′30″E,1942
USS Seminole,25-Oct-42,A Navajo-class oceangoing tug that was sunk off Tulagi by Japanese destroyers.,9°23′0″S 160°13′14″E,1942
USS Serpens,29-Jan-45,A Coast Guard-crewed Liberty ship that exploded while anchored off Lunga Beach.,,1945
Takanami,30-Nov-42,A Japanese Yūgumo-class destroyer that was sunk in the Battle of Tassafaronga.,9°14′S 159°49′E,1942
Teruzuki,12-Dec-42,A Japanese Akizuki-class destroyer that was torpedoed by PT-37 and PT-40.,9°13′S 159°46′E,1942
USS Vincennes,9-Aug-42,A New Orleans-class cruiser that was sunk in the Battle of Savo Island.,9°7′17″S 159°52′48″E,1942
USS Walke,15-Nov-42,A Sims-class destroyer that was sunk in the Naval Battle of Guadalcanal.,,1942
MS World Discoverer,30-Apr-00,A cruise ship that struck a reef in the Sandfly Passage and ran aground in Roderick Bay.,9°01′23.17″S 160°07′22.91″E,2000
YP-284,25-Oct-42,An American yard patrol craft.,,1942
Yūdachi,13-Nov-42,A Japanese Shiratsuyu-class destroyer that was sunk in the Naval Battle of Guadalcanal.,09°14′S 159°52′E,1942
Abbey,15 February 1868,A brigantine that was wrecked in a storm at Crowdy Head.,31°50′S 152°46′E,1868
Ability,5 January 1897,A ketch that ran aground at Cape Hawke.,,1897
Absalom,29 March 1863,A ketch that was wrecked at Trial Bay.,30°50′S 153°01′E,1863
Acielle,11-Sep-29,A ketch that was driven ashore off Smoky Cape.,31°06′15″S 153°01′30″E,1929
Active,18 February 1852,A ketch that was wrecked at the mouth of the Hunter River.,32°55′S 151°47′E,1852
Ada,29 April 1897,A ketch that was wrecked off Newcastle.,32°55′S 151°47′E,1897
Ada and Ethel,26 October 1887,A wooden schooner that sprung a leak and foundered off Seal Rocks.,32°36′S 152°42′E,1887
Adelaide,May 1834,A wooden cutter wrecked near Norah Head.,33°14′S 151°36′E,1834
HMAS Adelaide,13-Apr-11,An Adelaide-class frigate that was scuttled as a dive wreck off Avoca Beach.,33°28′0″S 151°27′0″E,2011
Adele,7-May-43,A steamship that struck the breakwater at Port Kembla.,34°28′04″S 150°55′01″E,1943
Adelphoi,21 December 1879,A barque that was wrecked off Port Hacking.,34°04′23″S 151°07′12″E,1879
Adolphe,30-Sep-04,Sailing ship wrecked at the mouth of Hunter River.,32°54′49.46″S 151°47′50.21″E,2004
Advance (1874),12-Jun-02,A schooner that was wrecked at Botany Bay.,34°00′00″S 151°14′06″E,2002
Advance (1884),25-Dec-08,An iron screw steamer that collided with the Inverna off Catherine Hill Bay.,33°10′50″S 151°42′12″E,2008
Aenid,12 November 1865,A cutter that was wrecked at Long Reef.,,1865
Agnes (1849),10 March 1877,A brigantine that was wrecked off Wollongong.,,1877
Agnes (1853),13 July 1860,A cutter that was blown ashore near Newcastle.,32°48′S 152°00′E,1860
Agnes (1875),12 March 1890,A schooner that was wrecked near Ocean Shores.,28°27′S 153°34′E,1890
Agnes (1877),1883,A ketch that was wrecked off Jervis Bay.,35°07′S 150°49′E,1883
Agnes (1904),27-Jan-06,A launch that was wrecked in a collision in Sydney Harbour.,33°51′S 151°14′E,2006
Agnes Irving,28 December 1879,A paddle steamer that was wrecked off Trial Bay.,30°48′23″S 153°00′18″E,1879
Alhambra,30 June 1888,Iron screw steamer wrecked off Newcastle while attempting to move the derelict wreck of the John T. Berry.,32°53′S 151°54′E,1888
HMAS Anzac,7-May-36,A Parker-class destroyer leader that was sunk as a target off Sydney Heads.,,1936
Argument,March 1809,A sloop that was wrecked near Broken Bay.,,1809
HMAS Arunta,12-Feb-69,"A Tribal-class destroyer sold for scrap, but sank under tow off Sydney Heads.",33°50′S 151°19′E,1969
HMAS Australia,12-Apr-24,An Indefatigable-class battlecruiser that was scuttled off Sydney Heads.,33°51′54.21″S 155°44′25.11″E,1924
Bantam,24-Sep-46,A Dutch ship that was scuttled off Sydney.,,1946
Barcoo,1-Feb-24,A passenger ship that was scuttled off Sydney Heads.,,1924
Bellubera,1-Aug-80,A ferry that was scuttled southeast off Long Reef (New South Wales).,,1980
Bluebell,9-Aug-34,A ferry that collided with the Waraneen at Newcastle.,,1934
Bombo,24-Feb-49,A coastal steamer that sank in a storm off Port Kembla.,34°26.775′S 151°55.48′E,1949
Bonnie Dundee,10 March 1879,A steamship that collided with SS Barrabool off Caves Beach.,33°06.327′S 151°42.258′E,1879
Brighton,1916,A ferry that was hulked at Port Stephens.,32°40′06″S 152°07′33″E,1916
Britannia,25 August 1806,A whaler that ran up against the Elizabeth and Middleton Reefs.,,1806
Buster,17 February 1893,A barquentine that ran aground at Woolgoolga.,,1893
Catterthun,8 August 1895,Hit rocks and sunk during a storm off Seal Rocks with over 50 lives lost.,,1895
Cawarra,12 July 1886,"Sank in rough seas, with 60 lives lost and 1 survivor.",,1886
Charlotte,1808,A sloop that was wrecked near Port Jackson.,,1808
HMAS Colac,4-Mar-87,A Bathurst-class corvette that was sunk as a target near Sydney.,34°49.2′S 151°32′E,1987
Colonist,9 September 1894,A cargo ship that ran aground off Newcastle.,32°54′50″S 151°47′49″E,1894
Comboyne,27-Nov-20,A steamship that was wrecked off Bass Point.,34°35′50″S 150°55′18″E,2020
Contest,28 February 1804,A sloop that sank in a storm off Port Stephens.,,1804
USS Craven,25-May-46,A Caldwell-class destroyer that was scuttled off Sydney.,,1946
HMAS Doomba,9-Dec-76,A warship that was scuttled off Dee Why.,33°42′58″S 151°20′50″E,1976
Duckenfield,1889,"The steamship struck Long Reef on its way to Sydney, but no lives lost.",,1889
Dunbar,20 August 1857,"Sank after striking rocks, with 121 lives lost.",,1857
Edward Lombe,25 August 1834,A merchantman that was wrecked on the Sydney Heads in a gale.,33°49.745′S 151°16.191′E,1834
Edwin,June 1816,A schooner that was wrecked near Cape Hawke.,,1816
Eleanor Lancaster,7 November 1856,A barque that was wrecked in a gale off Newcastle.,,1856
Elizabeth Henrietta,17 December 1825,A brig that was wrecked off Newcastle.,,1825
HMAS Encounter,14-Sep-32,A Challenger-class protected cruiser that was scuttled off Sydney.,,1932
Enterprize,1874,A schooner that was wrecked in Richmond River.,,1874
Estramina,19 January 1816,A schooner that ran aground off Newcastle.,,1816
Fairwind,23-Jun-50,A lighter that was wrecked off South West Rocks.,,1950
Fingal,5-May-43,A steamship that was torpedoed by Japanese submarine I-180 off Nambucca Heads.,,1943
Fitzroy,26-Jun-21,A steamship that was wrecked off Cape Hawke.,,2021
Francis,21 March 1805,A schooner that was wrecked off Newcastle.,,1805
HMAS Geranium,24-Apr-35,An Arabis-class sloop that was scuttled off Sydney Heads.,,1935
HMAS Goolgwai,29-May-55,A minesweeper that was wrecked near Malabar.,,1955
Governor Hunter,July 1816,A schooner that was wrecked in a gale off Port Stephens.,,1816
Governor King,22 April 1806,A schooner that was wrecked off Newcastle.,,1806
Grecian,6 May 1864,A sailing ship that was wrecked on Nine Mile Beach in a gale.,,1864
Greycliffe,3-Nov-27,Sydney ferry that collided with the mail steamer Tahiti and sank with the loss of 40 lives.,,1927
Hawkesbury Packet,14 August 1817,A sloop that ran aground at Minnamurra.,34°37′28″S 150°51′45″E,1817
Hazard,March 1809,A sloop that ran aground on Box Head.,33°32′32″S 151°20′55″E,1809
Herald,1 April 1884,A paddle steamer that sank off North Head.,33°49.492′S 151°17.462′E,1884
Hereward,5 May 1898,A clipper that ran aground on Maroubra Beach in a storm.,,1898
Hive,10 December 1835,A convict ship that ran aground south of Jervis Bay.,,1835
Hope,1817,A ship that was blown ashore at Port Stephens.,,1817
HMAS Huon,10-Apr-31,A River-class torpedo-boat destroyer that was scuttled off Sydney after use as a target.,,1931
Iron Knight,8-Feb-43,An iron ore carrier sunk by the Japanese submarine I-21.,36°51′S 149°44′E,1943
HMAS Karangi,1970,A Bar-class boom defence vessel that was abandoned at Homebush Bay.,33°50′11″S 151°04′50″E,1970
HMAS Kara Kara,31-Jan-73,A boom defence vessel that was sunk as a target off Jervis Bay.,,1973
HMAS Kianga,7-Jul-46,A minesweeper that was scuttled off Sydney Heads.,33°59′54″S 151°36′05″E,1946
HMAS Kookaburra,Mar-70,A Net-class boom defence vessel that was scuttled off Sydney.,33°51.300′S 151°21.196′E,1970
Koonya,25 January 1898,A steamboat that ran aground off Cronulla Beach.,34°02′34″S 151°12′24″E,1898
Koraaga,10-Sep-31,A steamship that was wrecked off Gerringong.,34°47′00″S 150°54′36″E,1931
HMAS Kuttabul,31-May-42,A depot ship that was torpedoed during the attack on Sydney Harbour.,,1942
Limerick,26-Apr-43,A cargo ship that was torpedoed by the Japanese submarine I-177 about 18 km (11 mi) east of Ballina.,,1943
Lindus,4 June 1899,A steamship that was wrecked in a storm off Newcastle.,32°54′50″S 151°47′49″E,1899
M84,Jun-42,"A Japanese midget submarine that sank sometime after being shelled during the attack on Sydney Harbour, with two lives lost.",,1942
Maianbar,5-May-40,A steamship that ran aground on Nobby's Beach off Newcastle.,32°55′29″S 151°47′33.4″E,1940
HMS Mallow,24-Apr-35,An Acacia-class sloop that was sunk as a target.,,1935
HMAS Marguerite,1-Aug-35,An Arabis-class sloop that was sunk as a target.,,1935
Martha,August 1800,A schooner that was wrecked off Manly.,,1800
HMAS Medea,20-Jan-48,A minesweeper that was scuttled off Sydney.,33°59′54″S 151°36′04″E,1948
HMAS Mercedes,23-Jan-48,A minesweeper that was scuttled off Sydney.,33°59′54″S 151°36′03″E,1948
Merksworth,7 May 1898,A steamboat that was wrecked near Stockton Beach.,32°50′13″S 151°56′13″E,1898
Narara,23-Aug-03,A steamboat that was wrecked near Barrenjoey.,,2003
